Screen Name,Twitter Handle,User ID #,Bio,Tweet Count,Follower Count,Following Count,List Count,Verified?,Verified Type,Account Created,URL
Top Gains,TopGains234236,1643125829566595075,#TRADING+#Stocks,2438,3,4,0,False,none,2023-04-04 05:38:54+00:00,https://twitter.com/TopGains234236
Defne 🎢,Defne6122120288,1638831303465353217,,0,0,6,0,False,none,2023-03-23 09:13:28+00:00,https://twitter.com/Defne6122120288
Stock News,StockNe31455915,1637477466926088192,,319,2,4,0,False,none,2023-03-19 15:34:01+00:00,https://twitter.com/StockNe31455915
Top Gains,TopGains254464,1637447954108755969,#Trading+#Stocks,744,3,6,0,False,none,2023-03-19 13:36:43+00:00,https://twitter.com/TopGains254464
TraderDakota,trader_dakota13,1635157747577626624,23 years young trying to make a career trading the stock market!,62,6,6,0,False,none,2023-03-13 05:56:09+00:00,https://twitter.com/trader_dakota13
shimu mondol,ShimuMondol,1634842788532727810,Trading,4455,3,6,0,False,none,2023-03-12 09:04:53+00:00,https://twitter.com/ShimuMondol
kstpgq331tdeh,kstpgq331tdeh,1633126015764426753,,0,0,1,0,False,none,2023-03-07 15:22:46+00:00,https://twitter.com/kstpgq331tdeh
TSLA Trader,TSLATrader1,1633062899257323521,#trading,294,3,8,0,False,none,2023-03-07 11:11:57+00:00,https://twitter.com/TSLATrader1
Santiago Luis,sl3364980,1632815353419161600,investor.,11,49,130,0,False,none,2023-03-06 18:48:42+00:00,https://twitter.com/sl3364980
Sting Roy,stingroy43,1632766449596121089,Investors have one eye fixed on the market trend. #markettrend,19,29,165,0,False,none,2023-03-06 15:40:02+00:00,https://twitter.com/stingroy43
hemi,Santu48257186,1632018230184411139,#Stock + #Trading,1713,2,0,0,False,none,2023-03-04 14:00:49+00:00,https://twitter.com/Santu48257186
puja s,pujas11174007,1631888791681236994,"#stock market
#trading",1690,3,1,0,False,none,2023-03-04 05:26:35+00:00,https://twitter.com/pujas11174007
trading stock,tradingstock4,1631885384820068352,,649,0,0,0,False,none,2023-03-04 05:13:08+00:00,https://twitter.com/tradingstock4
#ped,subir57535200,1631252545065865216,#TRADING,877,1,2,0,False,none,2023-03-02 11:18:16+00:00,https://twitter.com/subir57535200
Sadiya,Sadiya46749053,1630825402963992576,We're operating at an 92% success history with an average profit of 22% in a day. Get today join winning alerts.,1870,1,2,0,False,none,2023-03-01 07:01:05+00:00,https://twitter.com/Sadiya46749053
mike,KASIMA69349677,1630205156636901377,"Main Account Banned. WEF Conspiracy Theorist. Fighting Financial Fraud. Dumb Money. Followed By 
@DonaldjTrumpJr
 🇺🇸 
@unusual_whales
 🐋 & $APE $AMC 
@CEOAda",605,24,73,0,False,none,2023-02-27 13:56:25+00:00,https://twitter.com/KASIMA69349677
Teslaconomics,MAIKEMAI5,1630204346322518018,"I tweet my conscious thoughts, make special drinks, design killer swag, & live life to the fullest! I keep it simple, truthful & filter noise: ⚡️🚀🐦 investo",672,23,45,0,False,none,2023-02-27 13:53:10+00:00,https://twitter.com/MAIKEMAI5
Bernard Lepson,Bernard_Lepson,1630140439364771840,"A loyal fan of Buffett, 
🏰 Quality Stocks                     
🧑‍💼 Professional Investor (Equity Fund Manager)
➡️ Teaching people about investing on our web",94,52,82,1,False,none,2023-02-27 09:39:12+00:00,https://twitter.com/Bernard_Lepson
TheShowOut,TheShow_Out,1628197065724669952,tt nia,562,45,155,0,False,none,2023-02-22 00:57:04+00:00,https://twitter.com/TheShow_Out
Bessie Santos,BessieSantos17,1627700729019514881,"➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING & #stock",22690,4,7,2,False,none,2023-02-20 16:04:39+00:00,https://twitter.com/BessieSantos17
akash,subirmo06681622,1626510532848021508,,1623,7,5,0,False,none,2023-02-17 09:15:11+00:00,https://twitter.com/subirmo06681622
URMI,pamelaros011,1626122978013646848,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",5967,3,1,1,False,none,2023-02-16 07:35:17+00:00,https://twitter.com/pamelaros011
Tithin,Baker48524744,1624837901774372864,#Stock + #Trading,5721,4,1,1,False,none,2023-02-12 18:29:06+00:00,https://twitter.com/Baker48524744
Puja,Mrbest20311813,1624781896772382722,#TRADING + #stock,18534,3,1,0,False,none,2023-02-12 14:46:25+00:00,https://twitter.com/Mrbest20311813
subir,subirmo30337351,1624698791256522752,#Stock + #Trading,16209,2,2,1,False,none,2023-02-12 09:16:12+00:00,https://twitter.com/subirmo30337351
kakoli m,SonaliB14637493,1624632063281475584,#Stock + #Trading,8401,4,2,1,False,none,2023-02-12 04:51:10+00:00,https://twitter.com/SonaliB14637493
apans,jankif2,1624474807344697344,#Stock + #Trading,6006,7,2,0,False,none,2023-02-11 18:25:58+00:00,https://twitter.com/jankif2
Heya,NondoBiswas,1623997347679318016,#Trading + #Stock,14433,4,2,1,False,none,2023-02-10 10:49:01+00:00,https://twitter.com/NondoBiswas
Mary,Mary59335572,1623983561622847488,#Trading+#Stocks,2286,3,6,0,False,none,2023-02-10 09:53:57+00:00,https://twitter.com/Mary59335572
puja,Raj64766,1623711226500104192,#Trading + #Stock,14639,6,3,1,False,none,2023-02-09 15:51:58+00:00,https://twitter.com/Raj64766
Subir,AnnapurnaMond14,1623704488807907328,#Trading + #Stock,14670,3,3,1,False,none,2023-02-09 15:25:03+00:00,https://twitter.com/AnnapurnaMond14
Krisna,AkashMondalSky1,1623699253083136005,#Trading + #Stock,15110,4,1,1,False,none,2023-02-09 15:04:38+00:00,https://twitter.com/AkashMondalSky1
him him,rajesh96038722,1623690451000889346,#Stock + #Trading,6014,4,2,2,False,none,2023-02-09 14:29:14+00:00,https://twitter.com/rajesh96038722
Aahna,EdLess15,1623680405470875648,#stock + #trading,15692,3,1,1,False,none,2023-02-09 13:49:27+00:00,https://twitter.com/EdLess15
Subir,BiswasPuranji,1623676824046936064,#Trading + #Stock,14795,4,6,1,False,none,2023-02-09 13:35:14+00:00,https://twitter.com/BiswasPuranji
Subir,susma_mondal,1623670859679551488,#TRADING+#Stocks,15635,5,2,1,False,none,2023-02-09 13:11:35+00:00,https://twitter.com/susma_mondal
Anna,qw_ella,1623412341546307586,#TRADING + #Stocks,2590,4,2,0,False,none,2023-02-08 20:04:03+00:00,https://twitter.com/qw_ella
Sauvik,AlertsFintel,1623392096261652480,#Stock + #Trading,6426,4,3,0,False,none,2023-02-08 18:43:43+00:00,https://twitter.com/AlertsFintel
Tuly,marrybt3,1623245193947525122,#TRADING + #Stocks,4283,9,3,0,False,none,2023-02-08 09:00:10+00:00,https://twitter.com/marrybt3
Jarry,devid40653480,1622176139656695808,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts
➤FREE Join Us Today ➤
#TRADING + #stock",11483,4,1,0,False,none,2023-02-05 10:12:06+00:00,https://twitter.com/devid40653480
MoneyMaker,MoneyMaker0009,1621582173987016704,"ALL Posts ARE strictly opinion- Always consult an Investment Professional- ALL Links, images, & retweets are not endorsements",456,22,38,0,False,none,2023-02-03 18:52:03+00:00,https://twitter.com/MoneyMaker0009
JUI,Emily07923416,1621356196358930433,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",3489,3,4,1,False,none,2023-02-03 03:54:01+00:00,https://twitter.com/Emily07923416
soniya,Olivia53129763,1621349953120641025,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",1715,1,2,1,False,none,2023-02-03 03:29:02+00:00,https://twitter.com/Olivia53129763
Luisa,LasherMarkus,1621118998657257472,#Trading+#Stocks,11730,6,2,0,False,none,2023-02-02 12:11:42+00:00,https://twitter.com/LasherMarkus
Oliver,Oliver12212790,1621114653735788546,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",4220,5,1,0,False,none,2023-02-02 11:53:56+00:00,https://twitter.com/Oliver12212790
Tuli,McGraw00732108,1621079209161678848,#TRADING + #Stocks,7951,3,6,1,False,none,2023-02-02 09:33:05+00:00,https://twitter.com/McGraw00732108
Swarna,Liam10569802,1621053767360872448,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",3613,1,1,1,False,none,2023-02-02 07:52:02+00:00,https://twitter.com/Liam10569802
Anu baby,Hunter27067406,1621040898623827968,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",3376,3,2,0,False,none,2023-02-02 07:01:27+00:00,https://twitter.com/Hunter27067406
Santu,subir389,1620842228091592705,#TRADING + #stock,9335,8,3,0,False,none,2023-02-01 17:51:22+00:00,https://twitter.com/subir389
Puja,AleliaLina5666,1620837046523924481,,10497,3,0,0,False,none,2023-02-01 17:30:46+00:00,https://twitter.com/AleliaLina5666
Suma,LizaNila31d,1620835230465814529,#Trading,9064,2,1,0,False,none,2023-02-01 17:23:34+00:00,https://twitter.com/LizaNila31d
Stock Market Akart,AlenaAmlias3,1620834135588864000,#Stock Market Akart,12432,4,10,0,False,none,2023-02-01 17:19:20+00:00,https://twitter.com/AlenaAmlias3
Sumi,nisu32596499,1620833158932619264,#stock,14748,4,1,0,False,none,2023-02-01 17:15:23+00:00,https://twitter.com/nisu32596499
mou,Sonia0766255073,1620819581945401344,"➤#Free #Stock & #Option #Education + #Alerts ➤Professional #Day & #Swing #Trading ➤Exclusive Trading Scripts 
➤FREE Join Us Today ➤
#TRADING + #stock",12461,7,5,1,False,none,2023-02-01 16:21:49+00:00,https://twitter.com/Sonia0766255073
Sobuj,josef82446064,1620352140438036482,#Stock + #Trading,10398,15,5,0,False,none,2023-01-31 09:24:00+00:00,https://twitter.com/josef82446064
Peace 🕊️,Peace101Tweet,1620159533665353730,Trade Ideas & Opinions ***Not A Financial Advice***,661,40,14,2,False,none,2023-01-30 20:38:39+00:00,https://twitter.com/Peace101Tweet
marry.b,marryb11952535,1619995496067788804,#Stock + #Trading,9990,4,4,0,False,none,2023-01-30 09:47:00+00:00,https://twitter.com/marryb11952535
ed Less,m_nilasha,1619991006090506240,#TRADING + #Stocks,10429,10,7,0,False,none,2023-01-30 09:28:57+00:00,https://twitter.com/m_nilasha
pritha p,Subiry4,1619987775012622337,#TRADING + #Stocks,10977,6,4,0,False,none,2023-01-30 09:16:04+00:00,https://twitter.com/Subiry4
anaya,KAVIN48227855,1619983065627127809,We're operating at an 92% success history with an average profit of 22% in a day. Get today join winning alerts.,9826,4,8,0,False,none,2023-01-30 08:57:20+00:00,https://twitter.com/KAVIN48227855
Sunny,StaceyR16701235,1619001166981132288,#Trading,15507,8,1,0,False,none,2023-01-27 15:56:46+00:00,https://twitter.com/StaceyR16701235
